F12,gamma_1,gamma_2,gamma_3,gamma_4,gamma_5,gamma_6,gamma_7,gamma_8,gamma_9,gamma_10,gamma_11,gamma_12
4.920000076293945,0.434929192066,0.732511356473,1.10501942039,0.434929192066,0.732511356473,1.10501942039,0.434929192066,1.10287371278,0.725964546204,0.434929192066,1.10287371278,0.725964546204
4.979999923706055,0.448768511415,0.740466147661,1.10501942039,0.448768511415,0.740466147661,1.10501942039,0.448768511415,1.10287371278,0.734286531806,0.448768511415,1.10287371278,0.734286531806
5.040000152587891,0.461252495646,0.750573635101,1.10501942039,0.461252495646,0.750573635101,1.10501942039,0.461252495646,1.10287371278,0.744761228561,0.461252495646,1.10287371278,0.744761228561
5.1,0.472336038947,0.762795105577,1.10501942039,0.472336038947,0.762795105577,1.10501942039,0.472336038947,1.10287371278,0.757349893451,0.472336038947,1.10287371278,0.757349893451
5.159999847412109,0.481979250908,0.777084127069,1.10501942039,0.481979250908,0.777084127069,1.10501942039,0.481979250908,1.10287371278,0.772006109357,0.481979250908,1.10287371278,0.772006109357
5.220000076293945,0.490147605538,0.793386757374,1.10501942039,0.490147605538,0.793386757374,1.10501942039,0.490147605538,1.10287371278,0.788675948977,0.490147605538,1.10287371278,0.788675948977
5.279999923706055,0.496812015772,0.811641767621,1.10501942039,0.496812015772,0.811641767621,1.10501942039,0.496812015772,1.10287371278,0.807298183441,0.496812015772,1.10287371278,0.807298183441
5.340000152587891,0.501948922873,0.831780895591,1.10501942039,0.501948922873,0.831780895591,1.10501942039,0.501948922873,1.10287371278,0.827804520726,0.501948922873,1.10287371278,0.827804520726
5.4,0.505540430546,0.853729069233,1.10501942039,0.505540430546,0.853729069233,1.10501942039,0.505540430546,1.10287371278,0.850119918585,0.505540430546,1.10287371278,0.850119918585
5.459999847412109,0.507574260235,0.877404749393,1.10501942039,0.507574260235,0.877404749393,1.10501942039,0.507574260235,1.10287371278,0.874162822962,0.507574260235,1.10287371278,0.874162822962
5.520000076293945,0.508043825626,0.902720272541,1.10501942039,0.508043825626,0.902720272541,1.10501942039,0.508043825626,1.10287371278,0.899845540524,0.508043825626,1.10287371278,0.899845540524
5.579999923706055,0.508043825626,0.928487330675,1.10501942039,0.508043825626,0.928487330675,1.10501942039,0.508043825626,1.10287371278,0.925977855921,0.508043825626,1.10287371278,0.925977855921
5.6400001525878904,0.508043825626,0.954147815704,1.10501942039,0.508043825626,0.954147815704,1.10501942039,0.508043825626,1.10287371278,0.951987624168,0.508043825626,1.10287371278,0.951987624168
5.7,0.508043825626,0.979683607817,1.10903021693,0.508043825626,0.979683607817,1.10903021693,0.508043825626,1.10706737638,0.977706253529,0.508043825626,1.10706737638,0.977706253529
5.759999847412109,0.508043825626,1.00491771102,1.11469721794,0.508043825626,1.00491771102,1.11469721794,0.508043825626,1.11291795969,1.00312396884,0.508043825626,1.11291795969,1.00312396884
5.820000076293946,0.508043825626,1.02975836396,1.12188160419,0.508043825626,1.02975836396,1.12188160419,0.508043825626,1.12028598785,1.02814823389,0.508043825626,1.12028598785,1.02814823389
5.8799999237060545,0.508043825626,1.05411508679,1.13055592775,0.508043825626,1.05411508679,1.13055592775,0.508043825626,1.12914389372,1.05268856883,0.508043825626,1.12914389372,1.05268856883
5.94000015258789,0.508043825626,1.07789936662,1.14068722725,0.508043825626,1.07789936662,1.14068722725,0.508043825626,1.13945883512,1.07665646076,0.508043825626,1.13945883512,1.07665646076
6.0,0.508043825626,1.10102498531,1.15223741531,0.508043825626,1.10102498531,1.15223741531,0.508043825626,1.1511926651,1.09996569157,0.508043825626,1.1511926651,1.09996569157
